world_ref,namespace,x,y,area,size_band,roles,clusters
worlds/Badlands,base,256,384,98304,base-game-extra-large-width,start,Badlands
worlds/BigEmpty,base,256,384,98304,base-game-extra-large-width,unreferenced,
worlds/ForestDefault,base,256,384,98304,base-game-extra-large-width,start,ForestDefault
worlds/ForestHot,base,256,384,98304,base-game-extra-large-width,start,ForestHot
worlds/ForestLush,base,256,384,98304,base-game-extra-large-width,start,ForestLush
worlds/Helicona,base,384,384,147456,base-game-extra-large-width,unreferenced,
worlds/Oasis,base,256,384,98304,base-game-extra-large-width,start,Oasis
worlds/Oceania,base,256,384,98304,base-game-extra-large-width,start,Oceania
worlds/SandstoneDefault,base,256,384,98304,base-game-extra-large-width,start,SandstoneDefault
worlds/SandstoneFrozen,base,256,384,98304,base-game-extra-large-width,start,SandstoneFrozen
worlds/StrangeAsteroidKleiFest2023,base,380,240,91200,base-game-extra-large-width,start,KleiFest2023
worlds/TheRock,base,384,384,147456,base-game-extra-large-width,unreferenced,
worlds/TinyEmpty,base,32,32,1024,extremely-small,unreferenced,
worlds/TinySurface,base,32,32,1024,extremely-small,unreferenced,
worlds/Volcanic,base,256,384,98304,base-game-extra-large-width,start,Volcanic
dlc2::worlds/CeresBaseGameAsteroid,dlc2,256,384,98304,base-game-extra-large-width,start,dlc2::CeresBaseGameCluster
dlc2::worlds/CeresBaseGameShatteredAsteroid,dlc2,256,384,98304,base-game-extra-large-width,start,dlc2::CeresBaseGameShatteredCluster
dlc2::worlds/CeresClassicAsteroid,dlc2,240,380,91200,classic-large-width,start,dlc2::CeresClassicCluster
dlc2::worlds/CeresClassicShatteredAsteroid,dlc2,240,380,91200,classic-large-width,start,dlc2::CeresClassicShatteredCluster
dlc2::worlds/CeresSpacedOutAsteroid,dlc2,160,274,43840,spaced-out-standard-width,start,dlc2::CeresSpacedOutCluster
dlc2::worlds/MiniShatteredGeoAsteroid,dlc2,128,153,19584,moonlet-mini-width,general,dlc2::CeresSpacedOutShatteredCluster
dlc2::worlds/MiniShatteredStartAsteroid,dlc2,128,153,19584,moonlet-mini-width,start,dlc2::CeresSpacedOutShatteredCluster
dlc2::worlds/MiniShatteredWarpAsteroid,dlc2,128,153,19584,moonlet-mini-width,warp,dlc2::CeresSpacedOutShatteredCluster
dlc2::worlds/MixingCeresAsteroid,dlc2,64,128,8192,extremely-small,unreferenced,
dlc4::worlds/MixingPrehistoricAsteroid,dlc4,64,128,8192,extremely-small,unreferenced,
dlc4::worlds/PrehistoricBaseGameAsteroid,dlc4,256,384,98304,base-game-extra-large-width,start,dlc4::PrehistoricBaseGameCluster
dlc4::worlds/PrehistoricClassicAsteroid,dlc4,240,380,91200,classic-large-width,start,dlc4::PrehistoricClassicCluster
dlc4::worlds/PrehistoricShatteredBaseGameAsteroid,dlc4,256,384,98304,base-game-extra-large-width,start,dlc4::PrehistoricShatteredBaseGameCluster
